haplotype_id	n_individuals	x_mds	y_mds	sites
1	2	-295.772149763529	-5.71823696699811	Cacao
2	1	-287.741568290734	-13.045368575667	MC_87
3	1	-307.617550851239	-32.3831142222339	MC_88
4	1	-303.710134010969	-13.0168691405613	Cacao
5	8	-299.728239054807	-17.0971387632961	MC_87;MC_88;Nouragues_Inselberg
6	1	-293.614600456056	-26.8600327279967	MC_88
7	12	-291.788078378914	-9.76889062858632	Cacao;Foret_Regina_St_Georges;MC_87;MC_88;Nouragues_Inselberg;Petit_croissant;Regina
8	1	-315.639245488108	-32.4364477099665	Foret_Regina_St_Georges
9	13	-289.648365924785	-23.1272432165778	Angela;Foret_Regina_St_Georges;Saut_Lavilette;St_georges
10	1	-305.335766421512	-53.196920545501	Saut_Lavilette
11	1	-301.557849519128	-34.4555930234098	Saut_Lavilette
12	1	-295.771872153778	-5.71711091362102	St_georges
13	1	-303.706093134034	-20.8770366648542	Regina
14	1	-411.037528722008	-124.264139029441	Foret_Regina_St_Georges
15	1	-315.780535311942	-1.75116594273646	Apatou
16	8	-307.831393340388	5.38468338565627	Acarouany;Apatou;Maripasoula;Trinité
17	10	-287.805386362388	-5.80725927097736	Nouragues_Inselberg;Regina;Saut_Takari;St_georges;Trinité
18	1	-291.592494443072	-25.754818726416	MC_88
19	1	-331.429544286199	-30.2545623180141	Acarouany
20	3	-295.771872153778	-5.71711091362101	Cacao;St_georges
21	8	-291.775339927359	-9.49644480287794	Nouragues_Inselberg;Petit_croissant;Piste_St_Elie;Trinité
22	1	-295.75301136664	-13.3396989566216	Piste_St_Elie
23	1	-291.624740135333	-23.9700127838154	Nouragues_Inselberg
24	1	-315.445586504334	-47.1291273913865	MC_88
25	2	-295.752463436563	-13.3367526601548	Piste_St_Elie
26	1	-299.710767119962	-16.8438765030131	Regina
27	2	-295.764561743461	-13.538930403128	Foret_Regina_St_Georges
28	2	-295.742342565891	-13.1654170173069	MC_88;Regina
29	3	-319.734181880973	-5.19768514030457	Acarouany;Apatou
30	1	-303.764962774089	-5.68543956758804	Apatou
31	1	-295.757669025167	-13.4606322793131	Foret_Regina_St_Georges
32	1	-319.733181636153	-5.19018960803068	Apatou
33	1	-311.805866900884	1.81691210140293	Apatou
34	1	-315.746960513559	-9.21096324360214	Acarouany
35	1	-335.488893762059	-34.8093924249589	Acarouany
36	2	-319.768549417331	-5.44850100773018	Acarouany;Saul
37	1	-299.716772635987	-1.38127322243978	Acarouany
38	1	-299.735548966673	-17.2603159090344	Nouragues_Inselberg
39	1	-303.81767724722	1.52117490142865	Acarouany
40	1	-295.743937370929	-13.1758878317407	Nouragues_Inselberg
41	1	-297.666517980148	-23.4028660724521	Piste_St_Elie
42	1	5037.20624575481	-166.9091091077	Cameroun_Benin
43	1	-359.910715897096	1008.93405500601	Dicorynia paranensis
44	1	4949.24153936022	-40.4756414364968	Cameroun_Benin
45	1	4989.45743095207	127.116230968008	Cameroun_Benin
46	1	4914.06281767471	90.0880739526075	Cameroun_Benin
47	6	-287.814078119649	-5.96366162512426	Crique_Tigre
48	12	-283.83706890368	-2.13003856018899	Crique_Tigre;Montagne_Fer;Trinité
49	2	-291.773002412448	-9.48188789343673	Crique_Tigre
50	1	-321.698414537552	-7.95689410249015	Maripasoula
51	2	-303.765145429819	-5.68597984989578	Maripasoula
52	1	-299.743051612421	-9.36827361967207	Maripasoula
53	1	-311.805866900884	1.81691210140296	Maripasoula
54	2	-319.722628888248	-12.8242176470748	Maripasoula;Saul
55	4	-291.773528478817	-9.48372765760317	Petit_croissant
56	1	-315.710950946041	-8.9512060678713	Trinité
57	2	-303.737934026937	-13.150184175628	Trinité
58	1	-301.713118957417	-12.1567168734113	Trinité
59	1	-299.722477990136	-17.0277176223703	Saut_Takari
60	1	-303.76496277409	-5.68543956758801	Montagne_Fer
61	1	-287.808242204443	-5.83510070158451	Montagne_Fer
62	1	-298.719815665596	-17.6320711319281	Chutes_Voltaires
63	5	-295.746202070716	-13.1799237521165	Chutes_Voltaires
64	1	-379.437433553967	-59.5059784014659	Chutes_Voltaires
65	1	-323.746056544441	-9.03763251557355	Chutes_Voltaires
66	2	-299.76673952615	-9.49197984717994	Chutes_Voltaires
67	1	-295.741865418857	-13.1611838257236	Saul
68	6	-287.805393675158	-5.80726929060508	Saul
69	1	-291.773538229183	-9.48374101781312	Saul
